source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
only	discourse_particle	17	1577	only	h	50	50	3	0.0309278350515463	0.58	0.0034007812356948	0.0993116569519043	-0.1251440197310464	1.0	0.18206787109375	0.46	0.9919982710846312	-0.0412437963485717	0.0967289376256834	0.0	-0.7437744140625	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	18	1579	only	h	50	50	4	0.0416666666666666	0.5	0.9869062902983918	0.0390353775024414	0.0228913605174054	1.0	0.61492919921875	0.34	0.0312127620463404	-0.050840253829956	-0.0244430010315045	0.0	-0.344207763671875	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	19	1602	only	h	50	50	2	0.0204081632653061	0.56	0.992392354752198	0.0487207221984863	0.1918613441038418	0.0	-1.2455596923828125	0.62	0.0043694653334856	0.3074025821685791	-0.1817345356462693	1.0	0.4344024658203125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	20	1624	only	h	50	50	0	0.0	0.62	0.2097946593083796	0.1737608337402343	-0.1245421511915237	1.0	0.0771484375	0.64	0.9798290440174366	0.1372294235229492	0.5277853670232677	1.0	0.22216796875	True	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	21	1817	only	h	50	50	0	0.0	0.62	0.0990735141048032	0.0674158859252929	-0.0130199880785613	1.0	0.16168212890625	0.56	0.1412649401251623	0.0234100914001464	-0.0012486720470704	0.0	-0.027496337890625	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	22	1888	only	h	50	50	0	0.0	0.62	0.5128463080816789	0.1738785123825073	-0.0156897442909168	1.0	0.0447998046875	0.42	0.6622084632034454	0.0335033416748046	0.0949823192357477	0.0	-0.17962646484375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	23	1891	only	h	50	50	0	0.0	0.32	0.0649416327305077	-0.0426765537261962	-0.0171979159985818	0.0	-0.15478515625	0.58	0.1551266682005528	0.021076431274414	-0.0548658619884032	1.0	0.136962890625	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	24	2032	only	h	50	50	0	0.0	0.72	0.9910142543706902	0.2524278855323791	0.4087222552187941	0.0	-0.2081279754638672	0.54	0.9961717540314234	0.0239653515815734	0.624470896845474	1.0	0.39862060546875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	25	2038	only	h	50	50	1	0.0101010101010101	0.76	0.6769107265101174	0.5777752494812012	0.0896385387656348	0.0	-0.79681396484375	0.68	0.3739229269730397	0.3298644495010376	0.0328718461953276	1.0	0.46807861328125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	26	2118	only	h	50	50	1	0.0101010101010101	0.78	0.0818547331204537	0.465102424621582	0.01572081303226	1.0	0.1356048583984375	0.62	0.8542728729809567	0.1750219511985778	-0.0308829315044011	0.0	-0.8629150390625	True	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	27	2232	only	h	50	50	0	0.0	0.62	0.7900163608707642	0.1476427364349365	0.2079700373291493	1.0	0.21435546875	0.58	0.9543331957975704	0.0872524762153625	0.2939116292990713	1.0	0.4785295724868774	True	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	28	2333	only	h	50	50	0	0.0	0.56	0.918294306827664	0.1050751495361328	0.157350272338265	1.0	0.1986541748046875	0.5	0.997999995428843	-0.0448494052886962	0.1047767770724223	1.0	0.2261905670166015	False	True	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
only	discourse_particle	29	2405	only	h	50	50	0	0.0	0.7	0.1169763382917089	0.1222094535827636	0.0137677027975282	1.0	0.12554931640625	0.4	0.0036207466913392	-0.1003953647613525	-0.161327237495853	0.0	-0.1171784400939941	False	False	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	only	only
